,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
0,AB,,185,9,11,679061.044896,7642575.33562
1,AB,,39,12,14,679061.044896,7642575.33562
2,AB,,42,13,14,679061.044896,7642575.33562
3,AB,,97,14,16,679061.044896,7642575.33562
4,AB,,30,15,16,679061.044896,7642575.33562
5,AB,,54,18,19,679061.044896,7642575.33562
6,AB,,76,18,20,679061.044896,7642575.33562
7,AB,,24,18,21,679061.044896,7642575.33562
8,ASRC,,57,8,10,680048.965263,7642730.146919999
9,ASRC,,24,9,9,680048.965263,7642730.146919999
10,ASRC,,102,9,11,680048.965263,7642730.146919999
11,ASRC,,314,10,11,680048.965263,7642730.146919999
12,ASRC,,27,11,12,680048.965263,7642730.146919999
13,ASRC,,141,12,13,680048.965263,7642730.146919999
14,ASRC,,128,13,15,680048.965263,7642730.146919999
15,ASRC,,286,14,15,680048.965263,7642730.146919999
16,ASRC,,42,15,15,680048.965263,7642730.146919999
17,ASRC,,41,15,16,680048.965263,7642730.146919999
18,ASRC,,55,16,17,680048.965263,7642730.146919999
19,ASRC,,52,16,18,680048.965263,7642730.146919999
20,ASRC,,20,17,18,680048.965263,7642730.146919999
21,ASRC,,85,17,20,680048.965263,7642730.146919999
22,ASRC,,54,17,21,680048.965263,7642730.146919999
23,ASRC,,55,18,21,680048.965263,7642730.146919999
24,BDWY,,25,7,8,679425.738764,7642141.8952399995
25,BDWY,,107,9,10,679425.738764,7642141.8952399995
26,BDWY,,118,10,11,679425.738764,7642141.8952399995
27,BDWY,,47,11,12,679425.738764,7642141.8952399995
28,BDWY,,110,12,13,679425.738764,7642141.8952399995
29,BDWY,,98,14,15,679425.738764,7642141.8952399995
30,BDWY,,17,15,17,679425.738764,7642141.8952399995
31,BDWY,,68,16,18,679425.738764,7642141.8952399995
32,BDWY,,18,17,19,679425.738764,7642141.8952399995
33,BDWY,,50,18,21,679425.738764,7642141.8952399995
34,CH,,58,8,8,680507.418369,7642314.424760001
35,CH,,136,8,9,680507.418369,7642314.424760001
36,CH,,407,8,10,680507.418369,7642314.424760001
37,CH,,8,8,11,680507.418369,7642314.424760001
38,CH,,143,9,9,680507.418369,7642314.424760001
39,CH,,708,9,10,680507.418369,7642314.424760001
40,CH,,26,9,11,680507.418369,7642314.424760001
41,CH,,99,10,10,680507.418369,7642314.424760001
42,CH,,701,10,11,680507.418369,7642314.424760001
43,CH,,41,10,12,680507.418369,7642314.424760001
44,CH,,80,11,11,680507.418369,7642314.424760001
45,CH,,921,11,12,680507.418369,7642314.424760001
46,CH,,74,12,12,680507.418369,7642314.424760001
47,CH,,1173,12,13,680507.418369,7642314.424760001
48,CH,,91,13,13,680507.418369,7642314.424760001
49,CH,,134,14,14,680507.418369,7642314.424760001
50,CH,,1139,14,15,680507.418369,7642314.424760001
51,CH,,47,14,16,680507.418369,7642314.424760001
52,CH,,85,15,15,680507.418369,7642314.424760001
53,CH,,72,15,16,680507.418369,7642314.424760001
54,CH,,81,16,16,680507.418369,7642314.424760001
55,CH,,224,16,17,680507.418369,7642314.424760001
56,CH,,486,16,18,680507.418369,7642314.424760001
57,CH,,43,17,17,680507.418369,7642314.424760001
58,CH,,77,17,18,680507.418369,7642314.424760001
59,CH,,20,17,20,680507.418369,7642314.424760001
60,CH,,125,17,21,680507.418369,7642314.424760001
61,CH,,88,18,18,680507.418369,7642314.424760001
62,CH,,32,18,19,680507.418369,7642314.424760001
63,CH,,107,18,20,680507.418369,7642314.424760001
64,CH,,61,18,21,680507.418369,7642314.424760001
65,CH,,9,18,22,680507.418369,7642314.424760001
66,CH,,15,19,19,680507.418369,7642314.424760001
67,CIN,,78,8,10,679641.171666,7642600.052019999
68,CIN,,65,10,11,679641.171666,7642600.052019999
69,CIN,,69,11,12,679641.171666,7642600.052019999
70,CIN,,75,14,15,679641.171666,7642600.052019999
71,CIN,,49,16,18,679641.171666,7642600.052019999
72,CIN,,29,17,21,679641.171666,7642600.052019999
73,CLSB,,310,8,9,677049.082116,7645324.86245
74,CLSB,,313,10,11,677049.082116,7645324.86245
75,CLSB,,88,10,13,677049.082116,7645324.86245
76,CLSB,,340,11,12,677049.082116,7645324.86245
77,CLSB,,12,11,13,677049.082116,7645324.86245
78,CLSB,,217,12,13,677049.082116,7645324.86245
79,CLSB,,100,13,15,677049.082116,7645324.86245
80,CLSB,,126,14,17,677049.082116,7645324.86245
81,CLSB,,40,17,20,677049.082116,7645324.86245
82,EB,,89,8,9,679227.356364,7643015.9597
83,EB,,33,9,9,679227.356364,7643015.9597
84,EB,,30,9,10,679227.356364,7643015.9597
85,EB,,25,9,11,679227.356364,7643015.9597
86,EB,,21,10,11,679227.356364,7643015.9597
87,EB,,156,10,12,679227.356364,7643015.9597
88,EB,,41,11,12,679227.356364,7643015.9597
89,EB,,66,12,13,679227.356364,7643015.9597
90,EB,,338,14,15,679227.356364,7643015.9597
91,EB,,14,14,16,679227.356364,7643015.9597
92,EB,,31,16,17,679227.356364,7643015.9597
93,EB,,233,16,18,679227.356364,7643015.9597
94,EB,,40,17,21,679227.356364,7643015.9597
95,EB,,103,18,20,679227.356364,7643015.9597
96,FAB,,95,8,10,679576.3524409999,7643163.52598
97,FAB,,18,8,12,679576.3524409999,7643163.52598
98,FAB,,33,9,10,679576.3524409999,7643163.52598
99,FAB,,18,9,11,679576.3524409999,7643163.52598
100,FAB,,19,9,12,679576.3524409999,7643163.52598
101,FAB,,11,9,14,679576.3524409999,7643163.52598
102,FAB,,154,10,11,679576.3524409999,7643163.52598
103,FAB,,33,10,13,679576.3524409999,7643163.52598
104,FAB,,80,11,12,679576.3524409999,7643163.52598
105,FAB,,30,11,13,679576.3524409999,7643163.52598
106,FAB,,188,12,13,679576.3524409999,7643163.52598
107,FAB,,24,12,14,679576.3524409999,7643163.52598
108,FAB,,21,12,15,679576.3524409999,7643163.52598
109,FAB,,16,13,15,679576.3524409999,7643163.52598
110,FAB,,168,14,15,679576.3524409999,7643163.52598
111,FAB,,188,16,18,679576.3524409999,7643163.52598
112,FAB,,5,17,21,679576.3524409999,7643163.52598
113,FAB,,48,18,20,679576.3524409999,7643163.52598
114,FAB,,64,18,21,679576.3524409999,7643163.52598
115,HOFF,,138,8,10,680508.861028,7641292.417939999
116,HOFF,,126,10,11,680508.861028,7641292.417939999
117,HOFF,,28,14,15,680508.861028,7641292.417939999
118,HOFF,,163,16,18,680508.861028,7641292.417939999
119,HOFF,,193,18,20,680508.861028,7641292.417939999
120,LH,,47,8,8,680747.560767,7642413.45873
121,LH,,67,8,10,680747.560767,7642413.45873
122,LH,,62,9,9,680747.560767,7642413.45873
123,LH,,30,9,10,680747.560767,7642413.45873
124,LH,,267,10,11,680747.560767,7642413.45873
125,LH,,172,11,12,680747.560767,7642413.45873
126,LH,,202,12,13,680747.560767,7642413.45873
127,LH,,12,13,14,680747.560767,7642413.45873
128,LH,,20,14,14,680747.560767,7642413.45873
129,LH,,224,14,15,680747.560767,7642413.45873
130,LH,,10,15,15,680747.560767,7642413.45873
131,LH,,26,15,16,680747.560767,7642413.45873
132,LH,,9,16,16,680747.560767,7642413.45873
133,LH,,74,16,17,680747.560767,7642413.45873
134,LH,,59,16,18,680747.560767,7642413.45873
135,LH,,11,17,17,680747.560767,7642413.45873
136,LH,,3,17,19,680747.560767,7642413.45873
137,LH,,41,17,21,680747.560767,7642413.45873
138,LH,,10,18,18,680747.560767,7642413.45873
139,LH,,20,18,21,680747.560767,7642413.45873
140,LH,,16,19,20,680747.560767,7642413.45873
141,LH,,5,19,22,680747.560767,7642413.45873
142,NH,,7,7,8,680027.8416159999,7642114.5862
143,NH,,25,8,8,680027.8416159999,7642114.5862
144,NH,,178,8,9,680027.8416159999,7642114.5862
145,NH,,236,8,10,680027.8416159999,7642114.5862
146,NH,,22,9,9,680027.8416159999,7642114.5862
147,NH,,265,9,10,680027.8416159999,7642114.5862
148,NH,,155,9,11,680027.8416159999,7642114.5862
149,NH,,474,10,11,680027.8416159999,7642114.5862
150,NH,,40,10,12,680027.8416159999,7642114.5862
151,NH,,484,11,12,680027.8416159999,7642114.5862
152,NH,,25,12,12,680027.8416159999,7642114.5862
153,NH,,435,12,13,680027.8416159999,7642114.5862
154,NH,,25,12,14,680027.8416159999,7642114.5862
155,NH,,6,12,15,680027.8416159999,7642114.5862
156,NH,,63,12,16,680027.8416159999,7642114.5862
157,NH,,47,13,13,680027.8416159999,7642114.5862
158,NH,,695,14,15,680027.8416159999,7642114.5862
159,NH,,88,14,16,680027.8416159999,7642114.5862
160,NH,,37,15,17,680027.8416159999,7642114.5862
161,NH,,14,16,17,680027.8416159999,7642114.5862
162,NH,,358,16,18,680027.8416159999,7642114.5862
163,NH,,31,17,18,680027.8416159999,7642114.5862
164,NH,,50,17,19,680027.8416159999,7642114.5862
165,NH,,78,17,20,680027.8416159999,7642114.5862
166,NH,,165,17,21,680027.8416159999,7642114.5862
167,NH,,220,18,20,680027.8416159999,7642114.5862
168,NH,,84,18,21,680027.8416159999,7642114.5862
169,OND,,74,8,10,679594.3165930001,7642530.21924
170,OND,,18,9,10,679594.3165930001,7642530.21924
171,OND,,13,9,11,679594.3165930001,7642530.21924
172,OND,,116,10,11,679594.3165930001,7642530.21924
173,OND,,92,11,12,679594.3165930001,7642530.21924
174,OND,,96,12,13,679594.3165930001,7642530.21924
175,OND,,102,14,15,679594.3165930001,7642530.21924
176,OND,,42,15,17,679594.3165930001,7642530.21924
177,OND,,44,16,18,679594.3165930001,7642530.21924
178,OND,,16,17,20,679594.3165930001,7642530.21924
179,OND,,19,17,21,679594.3165930001,7642530.21924
180,OND,,24,18,21,679594.3165930001,7642530.21924
181,PKM,,80,8,10,680835.377374,7642071.12622
182,PKM,,29,9,9,680835.377374,7642071.12622
183,PKM,,118,10,11,680835.377374,7642071.12622
184,PKM,,107,11,12,680835.377374,7642071.12622
185,PKM,,18,12,13,680835.377374,7642071.12622
186,PKM,,14,12,15,680835.377374,7642071.12622
