,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
0,AB,,7,8,12,679061.044896,7642575.33562
1,AB,,142,9,11,679061.044896,7642575.33562
2,AB,,16,10,11,679061.044896,7642575.33562
3,AB,,32,14,15,679061.044896,7642575.33562
4,AB,,186,14,16,679061.044896,7642575.33562
5,AB,,21,15,17,679061.044896,7642575.33562
6,AB,,31,16,17,679061.044896,7642575.33562
7,AB,,114,18,20,679061.044896,7642575.33562
8,AB,,35,18,21,679061.044896,7642575.33562
9,ASRC,,14,8,8,680048.965263,7642730.146919999
10,ASRC,,42,8,9,680048.965263,7642730.146919999
11,ASRC,,42,8,11,680048.965263,7642730.146919999
12,ASRC,,4,9,9,680048.965263,7642730.146919999
13,ASRC,,35,10,10,680048.965263,7642730.146919999
14,ASRC,,402,10,11,680048.965263,7642730.146919999
15,ASRC,,27,11,11,680048.965263,7642730.146919999
16,ASRC,,43,11,13,680048.965263,7642730.146919999
17,ASRC,,112,12,12,680048.965263,7642730.146919999
18,ASRC,,304,12,13,680048.965263,7642730.146919999
19,ASRC,,21,13,13,680048.965263,7642730.146919999
20,ASRC,,44,13,16,680048.965263,7642730.146919999
21,ASRC,,28,14,14,680048.965263,7642730.146919999
22,ASRC,,299,14,15,680048.965263,7642730.146919999
23,ASRC,,28,16,16,680048.965263,7642730.146919999
24,ASRC,,101,16,18,680048.965263,7642730.146919999
25,ASRC,,41,17,19,680048.965263,7642730.146919999
26,ASRC,,111,17,20,680048.965263,7642730.146919999
27,ASRC,,42,18,20,680048.965263,7642730.146919999
28,BDWY,,52,8,9,679425.738764,7642141.8952399995
29,BDWY,,118,10,11,679425.738764,7642141.8952399995
30,BDWY,,129,12,13,679425.738764,7642141.8952399995
31,BDWY,,147,14,15,679425.738764,7642141.8952399995
32,BDWY,,30,16,17,679425.738764,7642141.8952399995
33,BDWY,,100,16,18,679425.738764,7642141.8952399995
34,BDWY,,33,18,20,679425.738764,7642141.8952399995
35,CH,,37,8,8,680507.418369,7642314.424760001
36,CH,,520,8,9,680507.418369,7642314.424760001
37,CH,,46,9,9,680507.418369,7642314.424760001
38,CH,,234,9,10,680507.418369,7642314.424760001
39,CH,,12,9,11,680507.418369,7642314.424760001
40,CH,,118,10,10,680507.418369,7642314.424760001
41,CH,,1190,10,11,680507.418369,7642314.424760001
42,CH,,96,11,11,680507.418369,7642314.424760001
43,CH,,253,11,12,680507.418369,7642314.424760001
44,CH,,59,12,12,680507.418369,7642314.424760001
45,CH,,1142,12,13,680507.418369,7642314.424760001
46,CH,,105,13,13,680507.418369,7642314.424760001
47,CH,,86,14,14,680507.418369,7642314.424760001
48,CH,,1269,14,15,680507.418369,7642314.424760001
49,CH,,25,14,16,680507.418369,7642314.424760001
50,CH,,70,15,15,680507.418369,7642314.424760001
51,CH,,46,15,16,680507.418369,7642314.424760001
52,CH,,60,16,16,680507.418369,7642314.424760001
53,CH,,309,16,17,680507.418369,7642314.424760001
54,CH,,440,16,18,680507.418369,7642314.424760001
55,CH,,36,17,17,680507.418369,7642314.424760001
56,CH,,62,17,18,680507.418369,7642314.424760001
57,CH,,190,17,21,680507.418369,7642314.424760001
58,CH,,58,18,18,680507.418369,7642314.424760001
59,CH,,167,18,19,680507.418369,7642314.424760001
60,CH,,52,18,20,680507.418369,7642314.424760001
61,CH,,28,18,21,680507.418369,7642314.424760001
62,CH,,11,19,19,680507.418369,7642314.424760001
63,CH,,19,19,21,680507.418369,7642314.424760001
64,CIN,,184,10,11,679641.171666,7642600.052019999
65,CIN,,65,12,13,679641.171666,7642600.052019999
66,CIN,,176,14,15,679641.171666,7642600.052019999
67,CIN,,21,16,18,679641.171666,7642600.052019999
68,CIN,,64,17,21,679641.171666,7642600.052019999
69,CLSB,,99,7,10,677049.082116,7645324.86245
70,CLSB,,12,8,11,677049.082116,7645324.86245
71,CLSB,,132,9,11,677049.082116,7645324.86245
72,CLSB,,18,10,11,677049.082116,7645324.86245
73,CLSB,,107,10,13,677049.082116,7645324.86245
74,CLSB,,398,11,13,677049.082116,7645324.86245
75,CLSB,,7,12,13,677049.082116,7645324.86245
76,CLSB,,23,12,14,677049.082116,7645324.86245
77,CLSB,,12,13,16,677049.082116,7645324.86245
