,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
0,AB,,142,9,11,679061.044896,7642575.33562
1,AB,,16,10,11,679061.044896,7642575.33562
2,AB,,32,14,15,679061.044896,7642575.33562
3,AB,,186,14,16,679061.044896,7642575.33562
4,AB,,21,15,17,679061.044896,7642575.33562
5,AB,,31,16,17,679061.044896,7642575.33562
6,AB,,91,18,20,679061.044896,7642575.33562
7,AB,,35,18,21,679061.044896,7642575.33562
8,ASRC,,14,8,8,680048.965263,7642730.146919999
9,ASRC,,42,8,9,680048.965263,7642730.146919999
10,ASRC,,4,9,9,680048.965263,7642730.146919999
11,ASRC,,35,10,10,680048.965263,7642730.146919999
12,ASRC,,402,10,11,680048.965263,7642730.146919999
13,ASRC,,27,11,11,680048.965263,7642730.146919999
14,ASRC,,28,12,12,680048.965263,7642730.146919999
15,ASRC,,388,12,13,680048.965263,7642730.146919999
16,ASRC,,21,13,13,680048.965263,7642730.146919999
17,ASRC,,62,13,15,680048.965263,7642730.146919999
18,ASRC,,28,14,14,680048.965263,7642730.146919999
19,ASRC,,299,14,15,680048.965263,7642730.146919999
20,ASRC,,28,15,17,680048.965263,7642730.146919999
21,ASRC,,21,16,17,680048.965263,7642730.146919999
22,ASRC,,101,16,18,680048.965263,7642730.146919999
23,ASRC,,143,17,20,680048.965263,7642730.146919999
24,ASRC,,37,17,21,680048.965263,7642730.146919999
25,ASRC,,42,18,20,680048.965263,7642730.146919999
26,BDWY,,97,8,9,679425.738764,7642141.8952399995
27,BDWY,,118,10,11,679425.738764,7642141.8952399995
28,BDWY,,131,12,13,679425.738764,7642141.8952399995
29,BDWY,,147,14,15,679425.738764,7642141.8952399995
30,BDWY,,30,16,17,679425.738764,7642141.8952399995
31,BDWY,,100,16,18,679425.738764,7642141.8952399995
32,BDWY,,33,18,20,679425.738764,7642141.8952399995
33,BDWY,,31,18,21,679425.738764,7642141.8952399995
34,CH,,37,8,8,680507.418369,7642314.424760001
35,CH,,874,8,9,680507.418369,7642314.424760001
36,CH,,20,8,11,680507.418369,7642314.424760001
37,CH,,68,9,9,680507.418369,7642314.424760001
38,CH,,234,9,10,680507.418369,7642314.424760001
39,CH,,119,10,10,680507.418369,7642314.424760001
40,CH,,1285,10,11,680507.418369,7642314.424760001
41,CH,,10,10,12,680507.418369,7642314.424760001
42,CH,,96,11,11,680507.418369,7642314.424760001
43,CH,,253,11,12,680507.418369,7642314.424760001
44,CH,,88,12,12,680507.418369,7642314.424760001
45,CH,,1144,12,13,680507.418369,7642314.424760001
46,CH,,30,12,16,680507.418369,7642314.424760001
47,CH,,114,13,13,680507.418369,7642314.424760001
48,CH,,114,14,14,680507.418369,7642314.424760001
49,CH,,1193,14,15,680507.418369,7642314.424760001
50,CH,,26,14,16,680507.418369,7642314.424760001
51,CH,,81,15,15,680507.418369,7642314.424760001
52,CH,,47,15,16,680507.418369,7642314.424760001
53,CH,,89,16,16,680507.418369,7642314.424760001
54,CH,,310,16,17,680507.418369,7642314.424760001
55,CH,,369,16,18,680507.418369,7642314.424760001
56,CH,,60,17,17,680507.418369,7642314.424760001
57,CH,,63,17,18,680507.418369,7642314.424760001
58,CH,,25,17,20,680507.418369,7642314.424760001
59,CH,,333,17,21,680507.418369,7642314.424760001
60,CH,,73,18,18,680507.418369,7642314.424760001
61,CH,,181,18,19,680507.418369,7642314.424760001
62,CH,,52,18,20,680507.418369,7642314.424760001
63,CH,,154,18,21,680507.418369,7642314.424760001
