,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
0,AB,,169,9,11,679061.044896,7642575.33562
1,AB,,11,12,13,679061.044896,7642575.33562
2,AB,,39,12,14,679061.044896,7642575.33562
3,AB,,40,13,14,679061.044896,7642575.33562
4,AB,,105,14,16,679061.044896,7642575.33562
5,AB,,30,15,16,679061.044896,7642575.33562
6,AB,,59,18,19,679061.044896,7642575.33562
7,AB,,76,18,20,679061.044896,7642575.33562
8,AB,,24,18,21,679061.044896,7642575.33562
9,ASRC,,57,8,10,680048.965263,7642730.146919999
10,ASRC,,24,9,9,680048.965263,7642730.146919999
11,ASRC,,90,9,11,680048.965263,7642730.146919999
12,ASRC,,314,10,11,680048.965263,7642730.146919999
13,ASRC,,47,10,13,680048.965263,7642730.146919999
14,ASRC,,27,11,12,680048.965263,7642730.146919999
15,ASRC,,141,12,13,680048.965263,7642730.146919999
16,ASRC,,133,13,15,680048.965263,7642730.146919999
17,ASRC,,286,14,15,680048.965263,7642730.146919999
18,ASRC,,42,15,15,680048.965263,7642730.146919999
19,ASRC,,41,15,16,680048.965263,7642730.146919999
20,ASRC,,26,16,17,680048.965263,7642730.146919999
21,ASRC,,52,16,18,680048.965263,7642730.146919999
22,ASRC,,109,17,20,680048.965263,7642730.146919999
23,ASRC,,88,17,21,680048.965263,7642730.146919999
24,ASRC,,38,18,21,680048.965263,7642730.146919999
25,BDWY,,25,7,8,679425.738764,7642141.8952399995
26,BDWY,,107,9,10,679425.738764,7642141.8952399995
27,BDWY,,118,10,11,679425.738764,7642141.8952399995
28,BDWY,,47,11,12,679425.738764,7642141.8952399995
29,BDWY,,110,12,13,679425.738764,7642141.8952399995
30,BDWY,,98,14,15,679425.738764,7642141.8952399995
31,BDWY,,17,15,17,679425.738764,7642141.8952399995
32,BDWY,,17,16,18,679425.738764,7642141.8952399995
33,BDWY,,15,16,20,679425.738764,7642141.8952399995
34,BDWY,,20,17,19,679425.738764,7642141.8952399995
35,BDWY,,32,17,21,679425.738764,7642141.8952399995
36,BDWY,,6,18,19,679425.738764,7642141.8952399995
37,BDWY,,25,19,21,679425.738764,7642141.8952399995
38,CH,,59,8,8,680507.418369,7642314.424760001
39,CH,,149,8,9,680507.418369,7642314.424760001
40,CH,,407,8,10,680507.418369,7642314.424760001
41,CH,,11,8,12,680507.418369,7642314.424760001
42,CH,,143,9,9,680507.418369,7642314.424760001
43,CH,,648,9,10,680507.418369,7642314.424760001
44,CH,,40,9,11,680507.418369,7642314.424760001
45,CH,,99,10,10,680507.418369,7642314.424760001
46,CH,,699,10,11,680507.418369,7642314.424760001
47,CH,,87,10,12,680507.418369,7642314.424760001
48,CH,,82,11,11,680507.418369,7642314.424760001
49,CH,,916,11,12,680507.418369,7642314.424760001
50,CH,,97,12,12,680507.418369,7642314.424760001
51,CH,,1151,12,13,680507.418369,7642314.424760001
52,CH,,90,13,13,680507.418369,7642314.424760001
53,CH,,25,13,14,680507.418369,7642314.424760001
54,CH,,120,14,14,680507.418369,7642314.424760001
55,CH,,1090,14,15,680507.418369,7642314.424760001
56,CH,,55,14,16,680507.418369,7642314.424760001
57,CH,,73,15,15,680507.418369,7642314.424760001
58,CH,,99,15,16,680507.418369,7642314.424760001
59,CH,,80,16,16,680507.418369,7642314.424760001
60,CH,,203,16,17,680507.418369,7642314.424760001
61,CH,,503,16,18,680507.418369,7642314.424760001
62,CH,,19,16,20,680507.418369,7642314.424760001
63,CH,,22,17,17,680507.418369,7642314.424760001
64,CH,,75,17,18,680507.418369,7642314.424760001
65,CH,,19,17,20,680507.418369,7642314.424760001
66,CH,,294,17,21,680507.418369,7642314.424760001
67,CH,,23,18,18,680507.418369,7642314.424760001
68,CH,,51,18,20,680507.418369,7642314.424760001
69,CH,,61,18,21,680507.418369,7642314.424760001
70,CIN,,78,8,10,679641.171666,7642600.052019999
71,CIN,,65,10,11,679641.171666,7642600.052019999
72,CIN,,69,11,12,679641.171666,7642600.052019999
73,CIN,,75,14,15,679641.171666,7642600.052019999
74,CIN,,49,16,18,679641.171666,7642600.052019999
75,CLSB,,10,7,9,677049.082116,7645324.86245
76,CLSB,,35,7,10,677049.082116,7645324.86245
77,CLSB,,310,8,9,677049.082116,7645324.86245
78,CLSB,,12,9,13,677049.082116,7645324.86245
79,CLSB,,313,10,11,677049.082116,7645324.86245
80,CLSB,,18,10,12,677049.082116,7645324.86245
81,CLSB,,145,10,13,677049.082116,7645324.86245
82,CLSB,,340,11,12,677049.082116,7645324.86245
83,CLSB,,12,11,13,677049.082116,7645324.86245
84,CLSB,,217,12,13,677049.082116,7645324.86245
85,CLSB,,19,12,14,677049.082116,7645324.86245
86,CLSB,,8,13,14,677049.082116,7645324.86245
87,CLSB,,100,13,15,677049.082116,7645324.86245
88,CLSB,,16,14,16,677049.082116,7645324.86245
89,CLSB,,198,14,17,677049.082116,7645324.86245
90,CLSB,,68,17,20,677049.082116,7645324.86245
91,CLSB,,11,17,21,677049.082116,7645324.86245
92,CLSB,,38,18,20,677049.082116,7645324.86245
93,EB,,89,8,9,679227.356364,7643015.9597
94,EB,,33,9,9,679227.356364,7643015.9597
95,EB,,30,9,10,679227.356364,7643015.9597
96,EB,,32,9,11,679227.356364,7643015.9597
97,EB,,25,10,11,679227.356364,7643015.9597
98,EB,,156,10,12,679227.356364,7643015.9597
99,EB,,41,11,12,679227.356364,7643015.9597
100,EB,,78,12,13,679227.356364,7643015.9597
101,EB,,15,13,15,679227.356364,7643015.9597
102,EB,,344,14,15,679227.356364,7643015.9597
103,EB,,225,16,18,679227.356364,7643015.9597
104,EB,,36,17,21,679227.356364,7643015.9597
105,EB,,103,18,20,679227.356364,7643015.9597
106,FAB,,117,8,10,679576.3524409999,7643163.52598
107,FAB,,36,9,9,679576.3524409999,7643163.52598
108,FAB,,33,9,10,679576.3524409999,7643163.52598
109,FAB,,41,9,11,679576.3524409999,7643163.52598
110,FAB,,19,9,12,679576.3524409999,7643163.52598
111,FAB,,100,10,11,679576.3524409999,7643163.52598
112,FAB,,33,10,13,679576.3524409999,7643163.52598
113,FAB,,80,11,12,679576.3524409999,7643163.52598
114,FAB,,30,11,13,679576.3524409999,7643163.52598
115,FAB,,168,12,13,679576.3524409999,7643163.52598
116,FAB,,12,12,14,679576.3524409999,7643163.52598
117,FAB,,19,13,14,679576.3524409999,7643163.52598
118,FAB,,192,14,15,679576.3524409999,7643163.52598
119,FAB,,19,15,17,679576.3524409999,7643163.52598
120,FAB,,29,16,17,679576.3524409999,7643163.52598
121,FAB,,129,16,18,679576.3524409999,7643163.52598
122,FAB,,39,16,20,679576.3524409999,7643163.52598
123,FAB,,21,17,17,679576.3524409999,7643163.52598
124,FAB,,16,17,21,679576.3524409999,7643163.52598
125,FAB,,22,18,18,679576.3524409999,7643163.52598
126,FAB,,48,18,20,679576.3524409999,7643163.52598
127,FAB,,75,18,21,679576.3524409999,7643163.52598
128,HGCDC,,41,16,19,681275.3625899999,7641283.03215
129,HOFF,,126,10,11,680508.861028,7641292.417939999
