,Building,Actual_Enrl,Latitude,Longitude,Start_Time,End_Time,Time_Range,Days,Day_R,Day_M,Day_W,Day_T,Day_F,Day_S
0,AB,7,679061.044896,7642575.33562,0830,1220,"[8, 9, 10, 11, 12]",R,True,,,,,
1,AB,16,679061.044896,7642575.33562,0900,1150,"[9, 10, 11]",M,,True,,,,
2,AB,169,679061.044896,7642575.33562,0900,1150,"[9, 10, 11]",MW,,True,True,,,
3,AB,126,679061.044896,7642575.33562,0900,1150,"[9, 10, 11]",TR,True,,,True,,
4,AB,16,679061.044896,7642575.33562,0900,1150,"[9, 10, 11]",TRF,True,,,True,True,
5,AB,16,679061.044896,7642575.33562,1000,1150,"[10, 11]",TR,True,,,True,,
6,AB,6,679061.044896,7642575.33562,1000,1250,"[10, 11, 12]",F,,,,,True,
7,AB,11,679061.044896,7642575.33562,1200,1350,"[12, 13]",W,,,True,,,
8,AB,39,679061.044896,7642575.33562,1200,1450,"[12, 13, 14]",MW,,True,True,,,
9,AB,2,679061.044896,7642575.33562,1300,1450,"[13, 14]",M,,True,,,,
10,AB,40,679061.044896,7642575.33562,1300,1450,"[13, 14]",MW,,True,True,,,
11,AB,32,679061.044896,7642575.33562,1400,1550,"[14, 15]",TR,True,,,True,,
12,AB,97,679061.044896,7642575.33562,1400,1650,"[14, 15, 16]",MW,,True,True,,,
13,AB,186,679061.044896,7642575.33562,1400,1650,"[14, 15, 16]",TR,True,,,True,,
14,AB,8,679061.044896,7642575.33562,1400,1650,"[14, 15, 16]",W,,,True,,,
15,AB,30,679061.044896,7642575.33562,1500,1650,"[15, 16]",MW,,True,True,,,
16,AB,21,679061.044896,7642575.33562,1500,1750,"[15, 16, 17]",TR,True,,,True,,
17,AB,31,679061.044896,7642575.33562,1600,1750,"[16, 17]",TR,True,,,True,,
18,AB,54,679061.044896,7642575.33562,1800,1950,"[18, 19]",MW,,True,True,,,
19,AB,5,679061.044896,7642575.33562,1800,1950,"[18, 19]",W,,,True,,,
20,AB,76,679061.044896,7642575.33562,1800,2050,"[18, 19, 20]",MW,,True,True,,,
21,AB,38,679061.044896,7642575.33562,1800,2050,"[18, 19, 20]",R,True,,,,,
22,AB,15,679061.044896,7642575.33562,1800,2050,"[18, 19, 20]",T,,,,True,,
23,AB,76,679061.044896,7642575.33562,1800,2050,"[18, 19, 20]",TR,True,,,True,,
24,AB,24,679061.044896,7642575.33562,1840,2120,"[18, 19, 20, 21]",MW,,True,True,,,
25,AB,35,679061.044896,7642575.33562,1840,2120,"[18, 19, 20, 21]",TR,True,,,True,,
26,ASRC,14,680048.965263,7642730.146919999,0800,0850,[8],TR,True,,,True,,
27,ASRC,17,680048.965263,7642730.146919999,0800,0950,"[8, 9]",F,,,,,True,
28,ASRC,42,680048.965263,7642730.146919999,0800,0950,"[8, 9]",TR,True,,,True,,
29,ASRC,57,680048.965263,7642730.146919999,0815,1005,"[8, 9, 10]",MW,,True,True,,,
30,ASRC,42,680048.965263,7642730.146919999,0830,1120,"[8, 9, 10, 11]",R,True,,,,,
31,ASRC,24,680048.965263,7642730.146919999,0900,0950,[9],MW,,True,True,,,
32,ASRC,4,680048.965263,7642730.146919999,0900,0950,[9],TR,True,,,True,,
33,ASRC,10,680048.965263,7642730.146919999,0900,1050,"[9, 10]",F,,,,,True,
34,ASRC,102,680048.965263,7642730.146919999,0900,1150,"[9, 10, 11]",M,,True,,,,
35,ASRC,90,680048.965263,7642730.146919999,0900,1150,"[9, 10, 11]",W,,,True,,,
36,ASRC,38,680048.965263,7642730.146919999,0900,1240,"[9, 10, 11, 12]",F,,,,,True,
37,ASRC,35,680048.965263,7642730.146919999,1000,1050,[10],TR,True,,,True,,
38,ASRC,285,680048.965263,7642730.146919999,1000,1150,"[10, 11]",MW,,True,True,,,
39,ASRC,402,680048.965263,7642730.146919999,1000,1150,"[10, 11]",TR,True,,,True,,
40,ASRC,29,680048.965263,7642730.146919999,1015,1105,"[10, 11]",MW,,True,True,,,
41,ASRC,47,680048.965263,7642730.146919999,1015,1300,"[10, 11, 12, 13]",W,,,True,,,
42,ASRC,27,680048.965263,7642730.146919999,1100,1150,[11],TR,True,,,True,,
43,ASRC,27,680048.965263,7642730.146919999,1130,1220,"[11, 12]",MW,,True,True,,,
44,ASRC,43,680048.965263,7642730.146919999,1130,1300,"[11, 12, 13]",R,True,,,,,
45,ASRC,43,680048.965263,7642730.146919999,1130,1310,"[11, 12, 13]",F,,,,,True,
46,ASRC,84,680048.965263,7642730.146919999,1200,1250,[12],R,True,,,,,
47,ASRC,28,680048.965263,7642730.146919999,1200,1250,[12],TR,True,,,True,,
48,ASRC,46,680048.965263,7642730.146919999,1200,1320,"[12, 13]",TR,True,,,True,,
49,ASRC,65,680048.965263,7642730.146919999,1200,1350,"[12, 13]",MW,,True,True,,,
50,ASRC,84,680048.965263,7642730.146919999,1200,1350,"[12, 13]",T,,,,True,,
51,ASRC,258,680048.965263,7642730.146919999,1200,1350,"[12, 13]",TR,True,,,True,,
52,ASRC,19,680048.965263,7642730.146919999,1245,1335,"[12, 13]",MW,,True,True,,,
53,ASRC,57,680048.965263,7642730.146919999,1245,1350,"[12, 13]",MWF,,True,True,,True,
54,ASRC,21,680048.965263,7642730.146919999,1300,1350,[13],TR,True,,,True,,
55,ASRC,62,680048.965263,7642730.146919999,1300,1530,"[13, 14, 15]",T,,,,True,,
56,ASRC,128,680048.965263,7642730.146919999,1300,1550,"[13, 14, 15]",M,,True,,,,
57,ASRC,133,680048.965263,7642730.146919999,1300,1550,"[13, 14, 15]",W,,,True,,,
58,ASRC,16,680048.965263,7642730.146919999,1300,1650,"[13, 14, 15, 16]",F,,,,,True,
59,ASRC,44,680048.965263,7642730.146919999,1330,1620,"[13, 14, 15, 16]",R,True,,,,,
60,ASRC,28,680048.965263,7642730.146919999,1400,1450,[14],TR,True,,,True,,
61,ASRC,38,680048.965263,7642730.146919999,1400,1505,"[14, 15]",MWF,,True,True,,True,
62,ASRC,248,680048.965263,7642730.146919999,1400,1550,"[14, 15]",MW,,True,True,,,
63,ASRC,27,680048.965263,7642730.146919999,1400,1550,"[14, 15]",R,True,,,,,
64,ASRC,27,680048.965263,7642730.146919999,1400,1550,"[14, 15]",T,,,,True,,
65,ASRC,272,680048.965263,7642730.146919999,1400,1550,"[14, 15]",TR,True,,,True,,
66,ASRC,42,680048.965263,7642730.146919999,1500,1550,[15],MW,,True,True,,,
67,ASRC,41,680048.965263,7642730.146919999,1515,1620,"[15, 16]",MWF,,True,True,,True,
68,ASRC,28,680048.965263,7642730.146919999,1530,1700,"[15, 16, 17]",T,,,,True,,
69,ASRC,28,680048.965263,7642730.146919999,1600,1650,[16],R,True,,,,,
70,ASRC,16,680048.965263,7642730.146919999,1600,1700,"[16, 17]",T,,,,True,,
71,ASRC,55,680048.965263,7642730.146919999,1600,1720,"[16, 17]",M,,True,,,,
72,ASRC,5,680048.965263,7642730.146919999,1600,1720,"[16, 17]",T,,,,True,,
73,ASRC,26,680048.965263,7642730.146919999,1600,1720,"[16, 17]",W,,,True,,,
74,ASRC,52,680048.965263,7642730.146919999,1640,1830,"[16, 17, 18]",MW,,True,True,,,
75,ASRC,101,680048.965263,7642730.146919999,1640,1830,"[16, 17, 18]",TR,True,,,True,,
76,ASRC,20,680048.965263,7642730.146919999,1700,1850,"[17, 18]",M,,True,,,,
77,ASRC,41,680048.965263,7642730.146919999,1730,1920,"[17, 18, 19]",R,True,,,,,
78,ASRC,29,680048.965263,7642730.146919999,1730,2000,"[17, 18, 19, 20]",T,,,,True,,
